Tiempo,ECG
0.000000000000000000e+00,5.050000000000000000e+02
4.000000000000000083e-03,5.080000000000000000e+02
8.000000000000000167e-03,4.960000000000000000e+02
1.200000000000000025e-02,5.280000000000000000e+02
1.600000000000000033e-02,5.180000000000000000e+02
2.000000000000000042e-02,5.060000000000000000e+02
2.400000000000000050e-02,5.120000000000000000e+02
2.800000000000000058e-02,4.970000000000000000e+02
3.200000000000000067e-02,5.010000000000000000e+02
3.599999999999999728e-02,5.080000000000000000e+02
4.000000000000000083e-02,5.190000000000000000e+02
4.399999999999999745e-02,5.250000000000000000e+02
4.800000000000000100e-02,5.080000000000000000e+02
5.199999999999999761e-02,5.170000000000000000e+02
5.600000000000000117e-02,4.820000000000000000e+02
5.999999999999999778e-02,5.220000000000000000e+02
6.400000000000000133e-02,5.220000000000000000e+02
6.800000000000000488e-02,5.070000000000000000e+02
7.199999999999999456e-02,5.070000000000000000e+02
7.599999999999999811e-02,5.080000000000000000e+02
8.000000000000000167e-02,5.110000000000000000e+02
8.400000000000000522e-02,5.060000000000000000e+02
8.799999999999999489e-02,5.050000000000000000e+02
9.199999999999999845e-02,5.110000000000000000e+02
9.600000000000000200e-02,5.080000000000000000e+02
1.000000000000000056e-01,5.210000000000000000e+02
1.039999999999999952e-01,5.060000000000000000e+02
1.079999999999999988e-01,5.150000000000000000e+02
1.120000000000000023e-01,5.080000000000000000e+02
1.160000000000000059e-01,5.100000000000000000e+02
1.199999999999999956e-01,5.080000000000000000e+02
1.239999999999999991e-01,5.100000000000000000e+02
1.280000000000000027e-01,5.280000000000000000e+02
1.320000000000000062e-01,5.240000000000000000e+02
1.360000000000000098e-01,4.960000000000000000e+02
1.400000000000000133e-01,5.230000000000000000e+02
1.439999999999999891e-01,4.900000000000000000e+02
1.479999999999999927e-01,4.990000000000000000e+02
1.519999999999999962e-01,5.220000000000000000e+02
1.559999999999999998e-01,5.080000000000000000e+02
1.600000000000000033e-01,5.300000000000000000e+02
1.640000000000000069e-01,5.040000000000000000e+02
1.680000000000000104e-01,5.220000000000000000e+02
1.719999999999999862e-01,4.920000000000000000e+02
1.759999999999999898e-01,5.170000000000000000e+02
1.799999999999999933e-01,5.160000000000000000e+02
1.839999999999999969e-01,4.750000000000000000e+02
1.880000000000000004e-01,5.350000000000000000e+02
1.920000000000000040e-01,5.260000000000000000e+02
1.960000000000000075e-01,4.860000000000000000e+02
2.000000000000000111e-01,5.430000000000000000e+02
2.039999999999999869e-01,5.080000000000000000e+02
2.079999999999999905e-01,5.370000000000000000e+02
2.119999999999999940e-01,4.920000000000000000e+02
2.159999999999999976e-01,5.030000000000000000e+02
2.200000000000000011e-01,5.510000000000000000e+02
2.240000000000000047e-01,4.860000000000000000e+02
2.280000000000000082e-01,4.980000000000000000e+02
2.320000000000000118e-01,5.100000000000000000e+02
2.359999999999999876e-01,5.200000000000000000e+02
2.399999999999999911e-01,5.010000000000000000e+02
2.439999999999999947e-01,4.630000000000000000e+02
2.479999999999999982e-01,5.560000000000000000e+02
2.520000000000000018e-01,4.910000000000000000e+02
2.560000000000000053e-01,4.700000000000000000e+02
2.600000000000000089e-01,5.250000000000000000e+02
2.640000000000000124e-01,5.110000000000000000e+02
2.680000000000000160e-01,5.490000000000000000e+02
2.720000000000000195e-01,5.160000000000000000e+02
2.760000000000000231e-01,4.820000000000000000e+02
2.800000000000000266e-01,5.210000000000000000e+02
2.839999999999999747e-01,5.060000000000000000e+02
2.879999999999999782e-01,5.430000000000000000e+02
2.919999999999999818e-01,4.980000000000000000e+02
2.959999999999999853e-01,5.070000000000000000e+02
2.999999999999999889e-01,5.610000000000000000e+02
3.039999999999999925e-01,4.950000000000000000e+02
3.079999999999999960e-01,5.210000000000000000e+02
3.119999999999999996e-01,5.040000000000000000e+02
3.160000000000000031e-01,4.750000000000000000e+02
3.200000000000000067e-01,4.970000000000000000e+02
3.240000000000000102e-01,4.940000000000000000e+02
3.280000000000000138e-01,4.970000000000000000e+02
3.320000000000000173e-01,4.890000000000000000e+02
3.360000000000000209e-01,5.360000000000000000e+02
3.400000000000000244e-01,4.800000000000000000e+02
3.439999999999999725e-01,5.620000000000000000e+02
3.479999999999999760e-01,4.740000000000000000e+02
3.519999999999999796e-01,4.980000000000000000e+02
3.559999999999999831e-01,5.080000000000000000e+02
3.599999999999999867e-01,5.820000000000000000e+02
3.639999999999999902e-01,5.400000000000000000e+02
3.679999999999999938e-01,5.000000000000000000e+02
3.719999999999999973e-01,5.440000000000000000e+02
3.760000000000000009e-01,4.590000000000000000e+02
3.800000000000000044e-01,5.290000000000000000e+02
3.840000000000000080e-01,4.820000000000000000e+02
3.880000000000000115e-01,5.480000000000000000e+02
3.920000000000000151e-01,5.210000000000000000e+02
3.960000000000000187e-01,5.480000000000000000e+02
4.000000000000000222e-01,4.950000000000000000e+02
4.040000000000000258e-01,4.950000000000000000e+02
4.079999999999999738e-01,4.760000000000000000e+02
4.119999999999999774e-01,5.160000000000000000e+02
4.159999999999999809e-01,5.150000000000000000e+02
4.199999999999999845e-01,4.950000000000000000e+02
4.239999999999999880e-01,5.210000000000000000e+02
4.279999999999999916e-01,4.980000000000000000e+02
4.319999999999999951e-01,5.080000000000000000e+02
4.359999999999999987e-01,5.170000000000000000e+02
4.400000000000000022e-01,5.670000000000000000e+02
4.440000000000000058e-01,4.690000000000000000e+02
4.480000000000000093e-01,4.680000000000000000e+02
4.520000000000000129e-01,5.440000000000000000e+02
4.560000000000000164e-01,5.360000000000000000e+02
4.600000000000000200e-01,5.060000000000000000e+02
4.640000000000000235e-01,5.080000000000000000e+02
4.680000000000000271e-01,4.950000000000000000e+02
4.719999999999999751e-01,5.290000000000000000e+02
4.759999999999999787e-01,5.020000000000000000e+02
4.799999999999999822e-01,4.940000000000000000e+02
4.839999999999999858e-01,5.400000000000000000e+02
4.879999999999999893e-01,4.530000000000000000e+02
4.919999999999999929e-01,5.520000000000000000e+02
4.959999999999999964e-01,4.900000000000000000e+02
5.000000000000000000e-01,5.210000000000000000e+02
5.040000000000000036e-01,4.920000000000000000e+02
5.080000000000000071e-01,5.330000000000000000e+02
5.120000000000000107e-01,5.150000000000000000e+02
5.160000000000000142e-01,5.180000000000000000e+02
5.200000000000000178e-01,4.910000000000000000e+02
5.240000000000000213e-01,5.110000000000000000e+02
5.280000000000000249e-01,5.180000000000000000e+02
5.320000000000000284e-01,4.980000000000000000e+02
5.360000000000000320e-01,5.040000000000000000e+02
5.400000000000000355e-01,5.220000000000000000e+02
5.440000000000000391e-01,4.980000000000000000e+02
5.480000000000000426e-01,4.780000000000000000e+02
5.520000000000000462e-01,5.510000000000000000e+02
5.560000000000000497e-01,4.980000000000000000e+02
5.600000000000000533e-01,5.230000000000000000e+02
5.639999999999999458e-01,5.040000000000000000e+02
5.679999999999999494e-01,4.940000000000000000e+02
5.719999999999999529e-01,5.130000000000000000e+02
5.759999999999999565e-01,4.840000000000000000e+02
5.799999999999999600e-01,5.020000000000000000e+02
5.839999999999999636e-01,5.240000000000000000e+02
5.879999999999999671e-01,5.150000000000000000e+02
5.919999999999999707e-01,5.080000000000000000e+02
5.959999999999999742e-01,5.040000000000000000e+02
5.999999999999999778e-01,5.110000000000000000e+02
6.039999999999999813e-01,5.010000000000000000e+02
6.079999999999999849e-01,5.000000000000000000e+02
6.119999999999999885e-01,5.030000000000000000e+02
6.159999999999999920e-01,5.100000000000000000e+02
6.199999999999999956e-01,4.930000000000000000e+02
6.239999999999999991e-01,5.100000000000000000e+02
6.280000000000000027e-01,5.040000000000000000e+02
6.320000000000000062e-01,5.010000000000000000e+02
6.360000000000000098e-01,4.970000000000000000e+02
6.400000000000000133e-01,5.090000000000000000e+02
6.440000000000000169e-01,4.980000000000000000e+02
6.480000000000000204e-01,5.050000000000000000e+02
6.520000000000000240e-01,5.010000000000000000e+02
6.560000000000000275e-01,5.070000000000000000e+02
6.600000000000000311e-01,5.040000000000000000e+02
6.640000000000000346e-01,5.040000000000000000e+02
6.680000000000000382e-01,5.010000000000000000e+02
6.720000000000000417e-01,5.030000000000000000e+02
6.760000000000000453e-01,5.040000000000000000e+02
6.800000000000000488e-01,5.050000000000000000e+02
6.840000000000000524e-01,5.040000000000000000e+02
6.879999999999999449e-01,5.010000000000000000e+02
6.919999999999999485e-01,5.040000000000000000e+02
6.959999999999999520e-01,5.020000000000000000e+02
6.999999999999999556e-01,4.970000000000000000e+02
7.039999999999999591e-01,5.010000000000000000e+02
7.079999999999999627e-01,5.020000000000000000e+02
7.119999999999999662e-01,5.010000000000000000e+02
7.159999999999999698e-01,5.020000000000000000e+02
7.199999999999999734e-01,5.020000000000000000e+02
7.239999999999999769e-01,5.000000000000000000e+02
7.279999999999999805e-01,4.980000000000000000e+02
7.319999999999999840e-01,5.040000000000000000e+02
7.359999999999999876e-01,5.050000000000000000e+02
7.399999999999999911e-01,5.000000000000000000e+02
7.439999999999999947e-01,5.030000000000000000e+02
7.479999999999999982e-01,5.040000000000000000e+02
7.520000000000000018e-01,5.050000000000000000e+02
7.560000000000000053e-01,5.000000000000000000e+02
7.600000000000000089e-01,5.050000000000000000e+02
7.640000000000000124e-01,5.030000000000000000e+02
7.680000000000000160e-01,5.050000000000000000e+02
7.720000000000000195e-01,5.060000000000000000e+02
7.760000000000000231e-01,5.070000000000000000e+02
7.800000000000000266e-01,5.060000000000000000e+02
7.840000000000000302e-01,5.030000000000000000e+02
7.880000000000000338e-01,5.060000000000000000e+02
7.920000000000000373e-01,5.060000000000000000e+02
7.960000000000000409e-01,5.080000000000000000e+02
8.000000000000000444e-01,5.060000000000000000e+02
8.040000000000000480e-01,5.090000000000000000e+02
8.080000000000000515e-01,5.090000000000000000e+02
8.120000000000000551e-01,5.080000000000000000e+02
8.159999999999999476e-01,5.070000000000000000e+02
8.199999999999999512e-01,5.070000000000000000e+02
8.239999999999999547e-01,5.060000000000000000e+02
8.279999999999999583e-01,5.100000000000000000e+02
8.319999999999999618e-01,5.080000000000000000e+02
8.359999999999999654e-01,5.060000000000000000e+02
8.399999999999999689e-01,5.110000000000000000e+02
8.439999999999999725e-01,5.110000000000000000e+02
8.479999999999999760e-01,5.100000000000000000e+02
8.519999999999999796e-01,5.090000000000000000e+02
8.559999999999999831e-01,5.100000000000000000e+02
8.599999999999999867e-01,5.100000000000000000e+02
8.639999999999999902e-01,5.110000000000000000e+02
8.679999999999999938e-01,5.110000000000000000e+02
8.719999999999999973e-01,5.120000000000000000e+02
8.760000000000000009e-01,5.100000000000000000e+02
8.800000000000000044e-01,5.120000000000000000e+02
8.840000000000000080e-01,5.060000000000000000e+02
8.880000000000000115e-01,5.100000000000000000e+02
8.920000000000000151e-01,5.130000000000000000e+02
8.960000000000000187e-01,5.120000000000000000e+02
9.000000000000000222e-01,5.120000000000000000e+02
9.040000000000000258e-01,5.120000000000000000e+02
9.080000000000000293e-01,5.120000000000000000e+02
9.120000000000000329e-01,5.120000000000000000e+02
9.160000000000000364e-01,5.110000000000000000e+02
9.200000000000000400e-01,5.110000000000000000e+02
9.240000000000000435e-01,5.120000000000000000e+02
9.280000000000000471e-01,5.080000000000000000e+02
9.320000000000000506e-01,5.120000000000000000e+02
9.360000000000000542e-01,5.150000000000000000e+02
9.399999999999999467e-01,5.130000000000000000e+02
9.439999999999999503e-01,5.130000000000000000e+02
9.479999999999999538e-01,5.130000000000000000e+02
9.519999999999999574e-01,5.120000000000000000e+02
9.559999999999999609e-01,5.100000000000000000e+02
9.599999999999999645e-01,5.120000000000000000e+02
